description,dis,sNumber,sTag,servArea,incType,numInc,numStand,perMet,90Avg,q,rank,rankQ4
Incident Total,WESTERN D3,62,FS62,Corio,totInc,207,134,81.2,8.13,4,64,64
Non-Emergency Incident,NORTH & WEST REGIONAL,73,FS73,Bendigo,nonInc,26,152,80.9,8.57,4,65,65
Emergency Incident,NORTH & WEST REGIONAL,73,FS73,Bendigo,emInc,188,152,80.9,8.57,4,65,65
Incident Total,NORTH & WEST REGIONAL,73,FS73,Bendigo,totInc,214,152,80.9,8.57,4,65,65
Non-Emergency Incident,SOUTH & EAST REGIONAL,76,FS76,Wodonga,nonInc,16,80,80.8,8.45,4,66,66
Emergency Incident,SOUTH & EAST REGIONAL,76,FS76,Wodonga,emInc,99,80,80.8,8.45,4,66,66
Incident Total,SOUTH & EAST REGIONAL,76,FS76,Wodonga,totInc,115,80,80.8,8.45,4,66,66
Non-Emergency Incident,SOUTHERN D2,92,FS92,Cranbourne,nonInc,53,143,80.8,9.08,4,67,67
Emergency Incident,SOUTHERN D2,92,FS92,Cranbourne,emInc,177,143,80.8,9.08,4,67,67
Incident Total,SOUTHERN D2,92,FS92,Cranbourne,totInc,230,143,80.8,9.08,4,67,67
Non-Emergency Incident,SOUTHERN D1,34,FS34,Highett,nonInc,50,149,80.5,8.37,4,68,68
Emergency Incident,SOUTHERN D1,34,FS34,Highett,emInc,185,149,80.5,8.37,4,68,68
Incident Total,SOUTHERN D1,34,FS34,Highett,totInc,235,149,80.5,8.37,4,68,68
Non-Emergency Incident,NORTHERN,5,FS5,Broadmeadows,nonInc,54,165,80.1,8.57,4,69,69
Emergency Incident,NORTHERN,5,FS5,Broadmeadows,emInc,206,165,80.1,8.57,4,69,69
Incident Total,NORTHERN,5,FS5,Broadmeadows,totInc,260,165,80.1,8.57,4,69,69
Non-Emergency Incident,EASTERN,84,FS84,South Warrandyte,nonInc,11,20,80,8.42,4,70,70
Emergency Incident,EASTERN,84,FS84,South Warrandyte,emInc,25,20,80,8.42,4,70,70
Incident Total,EASTERN,84,FS84,South Warrandyte,totInc,36,20,80,8.42,4,70,70
Non-Emergency Incident,WESTERN D1,45,FS45,Spotswood,nonInc,43,92,79.3,8.8,4,71,71
Emergency Incident,WESTERN D1,45,FS45,Spotswood,emInc,116,92,79.3,8.8,4,71,71
Incident Total,WESTERN D1,45,FS45,Spotswood,totInc,159,92,79.3,8.8,4,71,71
Non-Emergency Incident,NORTHERN,6,FS6,Pascoe Vale,nonInc,35,102,79.1,9.2,4,72,72
Emergency Incident,NORTHERN,6,FS6,Pascoe Vale,emInc,129,102,79.1,9.2,4,72,72
Incident Total,NORTHERN,6,FS6,Pascoe Vale,totInc,164,102,79.1,9.2,4,72,72
Non-Emergency Incident,WESTERN D2,43,FS43,Deer Park,nonInc,26,91,79.1,8.82,4,73,73
Emergency Incident,WESTERN D2,43,FS43,Deer Park,emInc,115,91,79.1,8.82,4,73,73
Incident Total,WESTERN D2,43,FS43,Deer Park,totInc,141,91,79.1,8.82,4,73,73
Non-Emergency Incident,WESTERN D1,40,FS40,Laverton,nonInc,21,56,78.9,8.87,4,74,74
Emergency Incident,WESTERN D1,40,FS40,Laverton,emInc,71,56,78.9,8.87,4,74,74
Incident Total,WESTERN D1,40,FS40,Laverton,totInc,92,56,78.9,8.87,4,74,74
Non-Emergency Incident,SOUTHERN D2,90,FS90,Patterson River,nonInc,20,57,77,9.68,4,75,75
Emergency Incident,SOUTHERN D2,90,FS90,Patterson River,emInc,74,57,77,9.68,4,75,75
Incident Total,SOUTHERN D2,90,FS90,Patterson River,totInc,94,57,77,9.68,4,75,75
Non-Emergency Incident,WESTERN D2,53,FS53,Sunbury,nonInc,15,59,76.6,9.18,4,76,76
Emergency Incident,WESTERN D2,53,FS53,Sunbury,emInc,77,59,76.6,9.18,4,76,76
Incident Total,WESTERN D2,53,FS53,Sunbury,totInc,92,59,76.6,9.18,4,76,76
Non-Emergency Incident,NORTHERN,80,FS80,Craigieburn,nonInc,38,91,75.8,9.4,4,77,77
Emergency Incident,NORTHERN,80,FS80,Craigieburn,emInc,120,91,75.8,9.4,4,77,77
Incident Total,NORTHERN,80,FS80,Craigieburn,totInc,158,91,75.8,9.4,4,77,77
Non-Emergency Incident,WESTERN D2,56,FS56,Melton,nonInc,37,158,75.6,9.5,4,78,78
Emergency Incident,WESTERN D2,56,FS56,Melton,emInc,209,158,75.6,9.5,4,78,78
Incident Total,WESTERN D2,56,FS56,Melton,totInc,246,158,75.6,9.5,4,78,78
Non-Emergency Incident,WESTERN D1,58,FS58,Point Cook,nonInc,20,96,75.6,10.47,4,79,79
Emergency Incident,WESTERN D1,58,FS58,Point Cook,emInc,127,96,75.6,10.47,4,79,79
Incident Total,WESTERN D1,58,FS58,Point Cook,totInc,147,96,75.6,10.47,4,79,79
Non-Emergency Incident,WESTERN D2,52,FS52,Tullamarine,nonInc,20,75,72.8,9.48,4,80,80
Emergency Incident,WESTERN D2,52,FS52,Tullamarine,emInc,103,75,72.8,9.48,4,80,80
Incident Total,WESTERN D2,52,FS52,Tullamarine,totInc,123,75,72.8,9.48,4,80,80
Non-Emergency Incident,WESTERN D2,54,FS54,Greenvale,nonInc,11,37,68.5,10.97,4,81,81
Emergency Incident,WESTERN D2,54,FS54,Greenvale,emInc,54,37,68.5,10.97,4,81,81
Incident Total,WESTERN D2,54,FS54,Greenvale,totInc,65,37,68.5,10.97,4,81,81
Non-Emergency Incident,WESTERN D1,57,FS57,Tarneit,nonInc,50,140,67,10.97,4,82,82
Emergency Incident,WESTERN D1,57,FS57,Tarneit,emInc,209,140,67,10.97,4,82,82
Incident Total,WESTERN D1,57,FS57,Tarneit,totInc,259,140,67,10.97,4,82,82
Non-Emergency Incident,WESTERN D3,61,FS61,Lara,nonInc,7,38,66.7,10.42,4,83,83
Emergency Incident,WESTERN D3,61,FS61,Lara,emInc,57,38,66.7,10.42,4,83,83
Incident Total,WESTERN D3,61,FS61,Lara,totInc,64,38,66.7,10.42,4,83,83
Non-Emergency Incident,WESTERN D2,55,FS55,Caroline Springs,nonInc,37,103,65.2,9.98,4,84,84
Emergency Incident,WESTERN D2,55,FS55,Caroline Springs,emInc,158,103,65.2,9.98,4,84,84
Incident Total,WESTERN D2,55,FS55,Caroline Springs,totInc,195,103,65.2,9.98,4,84,84
Non-Emergency Incident,WESTERN D1,59,FS59,Derrimut,nonInc,17,70,64.8,9.33,4,85,85
Emergency Incident,WESTERN D1,59,FS59,Derrimut,emInc,108,70,64.8,9.33,4,85,85
Incident Total,WESTERN D1,59,FS59,Derrimut,totInc,125,70,64.8,9.33,4,85,85
