dis,sNumber,sTag,servArea,incType,numInc,numStand,perMet,90Avg,q,rank,rankQ4
SOUTHERN D2,87,FS87,Dandenong,nonInc,20,265,83.1,8.8,1,64,56
SOUTHERN D2,87,FS87,Dandenong,emInc,319,265,83.1,8.8,1,64,56
NORTHERN,81,FS81,South Morang,nonInc,3,29,82.9,8.4,1,65,44
NORTHERN,81,FS81,South Morang,emInc,35,29,82.9,8.4,1,65,44
WESTERN D1,45,FS45,Spotswood,nonInc,4,52,82.5,8.2,1,66,71
WESTERN D1,45,FS45,Spotswood,emInc,63,52,82.5,8.2,1,66,71
NORTHERN,80,FS80,Craigieburn,nonInc,15,134,82.2,8.6,1,67,77
NORTHERN,80,FS80,Craigieburn,emInc,163,134,82.2,8.6,1,67,77
NORTHERN,6,FS6,Pascoe Vale,nonInc,10,123,82,8.8,1,68,72
NORTHERN,6,FS6,Pascoe Vale,emInc,150,123,82,8.8,1,68,72
WESTERN D2,51,FS51,Keilor,nonInc,11,76,81.7,8.3,1,69,36
WESTERN D2,51,FS51,Keilor,emInc,93,76,81.7,8.3,1,69,36
WESTERN D1,40,FS40,Laverton,nonInc,11,125,79.1,8.9,1,70,74
WESTERN D1,40,FS40,Laverton,emInc,158,125,79.1,8.9,1,70,74
WESTERN D2,53,FS53,Sunbury,nonInc,9,71,78.9,9.7,1,71,76
WESTERN D2,53,FS53,Sunbury,emInc,90,71,78.9,9.7,1,71,76
WESTERN D2,48,FS48,Taylors Lakes,nonInc,4,52,78.8,10.6,1,72,49
WESTERN D2,48,FS48,Taylors Lakes,emInc,66,52,78.8,10.6,1,72,49
WESTERN D2,56,FS56,Melton,nonInc,10,169,78.2,9.6,1,73,78
WESTERN D2,56,FS56,Melton,emInc,216,169,78.2,9.6,1,73,78
WESTERN D1,46,FS46,Altona,nonInc,0,47,77,8.7,1,74,57
WESTERN D1,46,FS46,Altona,emInc,61,47,77,8.7,1,74,57
WESTERN D1,59,FS59,Derrimut,nonInc,4,46,76.7,8.9,1,75,85
WESTERN D1,59,FS59,Derrimut,emInc,60,46,76.7,8.9,1,75,85
WESTERN D2,52,FS52,Tullamarine,nonInc,4,85,76.6,8.7,1,76,80
WESTERN D2,52,FS52,Tullamarine,emInc,111,85,76.6,8.7,1,76,80
SOUTHERN D2,92,FS92,Cranbourne,nonInc,15,151,76.6,9,1,77,67
SOUTHERN D2,92,FS92,Cranbourne,emInc,197,151,76.6,9,1,77,67
